timestamp,user
2025-12-05T11:54:22,0,9.57148
2025-12-05T11:54:24,0,11.4035
2025-12-05T11:54:26,0,12.1708
2025-12-05T11:54:28,0,12.8174
2025-12-05T11:54:30,0,13.0113
2025-12-05T11:54:32,0,13.3428
2025-12-05T11:54:34,1,13.3936
2025-12-05T11:54:36,1,13.4601
2025-12-05T11:54:38,1,13.6027
2025-12-05T11:54:41,1,13.5558
2025-12-05T11:54:43,1,13.688
2025-12-05T11:54:45,1,13.6721
2025-12-05T11:54:47,1,13.7786
2025-12-05T11:54:49,1,13.7462
2025-12-05T11:54:51,1,13.8472
2025-12-05T11:54:53,1,13.8575
2025-12-05T11:54:55,1,13.9509
2025-12-05T11:54:57,2,13.8928
2025-12-05T11:54:59,2,13.9626
2025-12-05T11:55:02,0,13.9498
2025-12-05T11:55:04,0,13.9942
2025-12-05T11:55:06,0,14.0324
2025-12-05T11:55:08,0,13.9798
2025-12-05T11:55:10,1,14.0344
2025-12-05T11:55:12,1,14.015
2025-12-05T11:55:14,0,14.0526
2025-12-05T11:55:16,0,14.0868
2025-12-05T11:55:18,0,14.1082
2025-12-05T11:55:20,1,14.1373
2025-12-05T11:55:22,2,14.1388
2025-12-05T11:55:24,2,14.1602
2025-12-05T11:55:27,2,14.1018
2025-12-05T11:55:29,2,14.135
2025-12-05T11:55:31,2,14.1062
2025-12-05T11:55:33,2,14.1309
2025-12-05T11:55:35,1,14.1219
2025-12-05T11:55:37,1,14.1484
2025-12-05T11:55:39,0,14.1487
2025-12-05T11:55:41,2,14.168
2025-12-05T11:55:43,2,14.1677
2025-12-05T11:55:45,0,14.1743
2025-12-05T11:55:47,0,14.1943
2025-12-05T11:55:49,0,14.2089
2025-12-05T11:55:51,0,14.2291
2025-12-05T11:55:53,0,14.2216
2025-12-05T11:55:55,1,14.2368
2025-12-05T11:55:57,1,14.2472
2025-12-05T11:56:00,1,14.2554
2025-12-05T11:56:01,1,14.2756
2025-12-05T11:56:04,0,14.2662
2025-12-05T11:56:06,0,14.2834
2025-12-05T11:56:08,0,14.2987
2025-12-05T11:56:10,0,14.3061
2025-12-05T11:56:12,0,14.3225
2025-12-05T11:56:14,0,14.3337
2025-12-05T11:56:16,0,14.3435
2025-12-05T11:56:18,0,14.3577
2025-12-05T11:56:20,0,14.3675
2025-12-05T11:56:22,1,14.3768
2025-12-05T11:56:24,0,14.3885
2025-12-05T11:56:26,0,14.3944
2025-12-05T11:56:28,0,14.4059
2025-12-05T11:56:30,0,14.4164
2025-12-05T11:56:32,0,14.4233
2025-12-05T11:56:34,0,14.4328
2025-12-05T11:56:36,0,14.4413
2025-12-05T11:56:38,0,14.4507
2025-12-05T11:56:40,0,14.4519
2025-12-05T11:56:42,0,14.4582
2025-12-05T11:56:44,0,14.463
